concept,family,classification,justification,required_missing_capability,closest_supported_substitute,composition_constraint_needed,composition_constraint_note,priority_unlock
space_dependency_graph,Dynamic graphs and interaction structure,missing_primitive,which players control/depend on which space needs pitch-control/space value (learned/time_to_arrival) plus graph construction; not implemented.,time_to_arrival/space-control + graph construction,local_number_relation (count proxy),False,,MED
support_graph,Dynamic graphs and interaction structure,partial_with_typed_gap,support_arrival_relation gives carrier-supporter edges; assembling them into a maintained support graph needs declared graph-construction composition.,graph construction (support),support_arrival_relation + pairwise_distance,True,,MED
team_graph_signature,Dynamic graphs and interaction structure,missing_primitive,aggregate structural signature of a team's interaction graph requires constructing the graph + computing graph-level features; not built.,interaction_graph + graph-level features,"team_compactness (shape proxy, not graph)",False,,LOW
backpass_episode,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",supported,"A backward controlled pass to a teammate (e.g. to GK/back line) is a controlled_pass_episode without forward progression, ordered inside an action_chain. No goal/GK-specific geometry needed to register the backward leg.",,controlled_pass_episode + action_chain (backward direction = no forward progression),False,,LOW
blocked_shot_episode,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,"No shot/goal primitive exists; a 'shot' (ball struck toward goal) cannot be expressed in the catalog, so a blocked shot is unrepresentable.",shot_geometry (shot/goal-relative primitive: ball-toward-goal action + block geometry),"action_event_anchor + pressure_on_carrier (only marks an action under pressure, not a shot or a block)",False,,HIGH
box_entry_to_shot,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,"Box entry could be approximated via relation_destination_entry into a region, but the terminal 'shot' has no primitive; the sequence cannot resolve its endpoint.",shot_geometry (shot primitive) + structured_zones (penalty-box region),"relation_destination_entry (region entry) + action_chain (entry leg only, not the shot)",False,,HIGH
cross_claim_region,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,A GK/defender claim zone in the box is goal/box-relative geometry with no catalog primitive; pairwise_distance to a ball cannot delimit a goalmouth claim region.,gk_geometry / shot_geometry (goalmouth-relative claim region),pairwise_distance (entity-to-ball) within a region (no goal-frame anchoring),False,,MED
cross_to_shot,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,"The cross (wide lateral delivery) is partly a controlled_pass_episode, but the terminal shot has no primitive, so the cross→shot link is unrepresentable.",shot_geometry (shot primitive) to terminate the sequence,controlled_pass_episode + action_chain (delivery leg only),False,,MED
cutback_to_shot,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,Same as cross_to_shot: the cutback pass is expressible but the shot terminus is not; no shot primitive exists.,shot_geometry (shot primitive),controlled_pass_episode + action_chain (cutback leg only),False,,MED
defender_goal_coverage,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,Covering the goal/shot lane is goal-relative defensive geometry; lane_occupancy is explicitly attacking-lane only and there is no goal-frame primitive.,shot_geometry / cover_shadow relative to the goal frame,relative_position_to_line + pairwise_distance (no goal anchoring),False,,MED
goalkeeper_claim_episode,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,"A GK claiming the ball in the air/box has no GK or goalmouth primitive; identifying the GK also depends on role, and the catch/punch action is not modeled.",gk_geometry (GK claim primitive); secondarily role_or_reference for GK identity,pairwise_distance (entity-to-ball) + action_event_anchor,False,,MED
goalkeeper_depth,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,GK depth is GK-position relative to own goal line; no goal-frame primitive and no role taxonomy to pick out the GK.,gk_geometry (GK position relative to goal frame),"relative_position_to_line (generic line, not the goal line)",False,,MED
goalkeeper_distribution_episode,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",partial_with_typed_gap,"The distribution pass itself is a controlled_pass_episode in an action_chain, but attributing it to the GK requires role/GK identity which the catalog lacks.",role_or_reference for GK identity (no role taxonomy),controlled_pass_episode + action_chain (the pass leg),False,,MED
goalkeeper_distribution_option_set,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",partial_with_typed_gap,"Available outlet options can be approximated via support_arrival_relation / open corridors, but enumerating safe reachable options needs time_to_arrival and GK identity needs role.",time_to_arrival (option reachability) + role_or_reference (GK identity),support_arrival_relation + geometric_progressive_corridor,False,,LOW
goalkeeper_goal_coverage,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,How much of the goal the GK covers is goal-frame angular geometry; no goal/GK primitive exists.,gk_geometry / shot_geometry (goal-frame angular coverage),"relative_position_to_line (no goal frame, no angular span)",False,,MED
goalkeeper_intervention_race,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",partial_with_typed_gap,"A race-to-ball comparison is the time_to_arrival pattern (like the intervention/interception margin); velocity + pairwise_distance give raw inputs but reachability time is not a primitive, and GK identity needs role.",time_to_arrival (reachability race) + role_or_reference (GK identity),pairwise_distance + velocity (raw closing inputs),False,,MED
goalkeeper_lateral_alignment,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,"GK left/right alignment relative to ball-and-goal is goal-frame geometry; ball_lateral_fraction is pitch-width, not goal-relative, and no GK primitive exists.",gk_geometry (GK alignment in goal frame),ball_lateral_fraction + pairwise_distance (no goal frame),False,,LOW
goalkeeper_position_at_shot,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,Depends on both a shot primitive (the anchor moment) and goal-frame GK geometry; neither exists.,shot_geometry (shot anchor) + gk_geometry (GK goal-frame position),change_across_anchor + pairwise_distance (no shot anchor available),False,,MED
goalkeeper_punch_candidate,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,Punch vs catch is a GK aerial-action distinction with no primitive; also benefits from body/contact detail beyond tracking.,gk_geometry (GK aerial intervention primitive),pairwise_distance (entity-to-ball) + action_event_anchor,False,,LOW
goalkeeper_set_position_proxy,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_modality,A 'set' (ready/balanced) position proxy is fundamentally a body-shape/stance signal; tracking centroid cannot infer set posture. Body shape is an unavailable modality.,body orientation/biomechanics modality (stance/set posture),"velocity (near-zero displacement as a weak proxy, not stance)",False,,LOW
goalkeeper_support_option,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",partial_with_typed_gap,"GK as a behind-ball outlet maps onto support_arrival_relation (BEHIND_BALL_OUTLET directional), but tagging the option holder as the GK needs role identity.",role_or_reference (GK identity),support_arrival_relation (BEHIND_BALL_OUTLET),False,,LOW
goalkeeper_sweeper_position,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,Sweeper-keeper = GK advanced relative to the last defensive line and goal; needs goal-frame depth plus GK identity. relative_position_to_line gives the line relation but not goal-anchored GK depth.,gk_geometry (GK depth vs goal) + role_or_reference (GK identity),relative_position_to_line + defensive_line_model,False,,LOW
post_shot_expected_goal,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_modality,Post-shot xG is a learned probabilistic model; learned models are explicitly not implemented.,learned-models modality (post-shot xG),none (no value/probability model),False,,LOW
post_shot_rebound,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,A rebound presupposes a shot event (off keeper/post); without a shot primitive the originating event and its loose-ball continuation cannot be anchored.,shot_geometry (shot primitive to anchor the rebound),action_event_anchor + change_across_anchor (no shot anchor exists),False,,LOW
saved_shot_episode,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,Requires both a shot primitive and a GK save action; neither exists in the catalog.,shot_geometry (shot primitive) + gk_geometry (save action),action_event_anchor (generic action only),False,,MED
second_ball_to_shot,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,"Second-ball recovery into a shot: the loose-ball recovery could be anchored but the terminal shot has no primitive, and a recovery bridges a contested/turnover boundary that action_chain will not cross.",shot_geometry (shot primitive) + transition_anchor (loose-ball recovery),action_event_anchor (recovery moment only),False,,LOW
shot_angle,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,"Purely geometric goal angle, but there is no goal-frame primitive in the catalog (per calibration, shot geometry is missing_primitive shot_geometry, not supported).",shot_geometry (goal-relative angle primitive),pairwise_distance (entity-to-region) without a goal frame,False,,HIGH
shot_creation_sequence,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,"The buildup legs are action_chain/pass_chain, but the sequence is defined by terminating in a shot, which has no primitive.",shot_geometry (shot terminus),action_chain + pass_chain_episode (buildup legs only),False,,MED
shot_distance,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,Distance to goal is geometric but requires a goal reference point that no primitive provides (calibration: shot geometry = missing_primitive).,shot_geometry (goal-relative distance),pairwise_distance (entity-to-region) with no goal anchor,False,,HIGH
shot_expected_goal,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_modality,"xG is a learned probabilistic model, explicitly not implemented.",learned-models modality (xG),none,False,,LOW
shot_lane_clearance,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,"A clear lane from shooter to goal is goal-frame geometry plus defender occlusion; no goal primitive and lane_occupancy is attacking-lane only, not a shot lane.",shot_geometry (shooter-to-goal lane) + cover_shadow (defender occlusion),"geometric_progressive_corridor (forward corridor, not goal-anchored)",False,,MED
shot_origin,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,The location a shot is taken from presupposes a shot primitive to anchor; the position itself is trackable but the 'shot' event is not.,shot_geometry (shot anchor),action_event_anchor (generic action location),False,,MED
shot_outcome_state,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,Goal/saved/blocked/off-target outcome states presuppose a shot primitive and a goal frame; outcome_classification cannot classify a shot that isn't represented.,shot_geometry (shot + goal frame for outcome),outcome_classification (no shot to classify),False,,MED
shot_pressure,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",partial_with_typed_gap,"Pressure on the striker is exactly pressure_on_carrier (nearest defender + closing + angle), but the anchoring 'shot' moment requires a missing shot primitive.",shot_geometry (shot anchor to attach pressure to),pressure_on_carrier (the pressure measurement itself),False,,MED
shot_speed_profile,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",partial_with_typed_gap,"Ball speed over the strike is velocity (displacement-derived), but it must be anchored to a shot event that has no primitive.",shot_geometry (shot anchor),velocity (ball speed series),False,,LOW
shot_target_region,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",missing_primitive,Which part of the goal is targeted is goal-mouth sub-region geometry; no goal-frame primitive exists.,shot_geometry (goal-mouth target sub-regions),"relation_destination_entry (region entry, no goal frame)",False,,LOW
shot_trajectory,"Shooting, chance structure, goalmouth defense, and goalkeeper behavior",partial_with_typed_gap,"The ball path is reconstructable from velocity/pairwise_distance, but it is meaningful only attached to a shot event, which has no primitive.",shot_geometry (shot anchor),velocity + pairwise_distance (raw ball path),False,,LOW
attract_then_release_candidate,"Possession behavior, circulation, combinations, and repeated patterns",partial_with_typed_gap,"Drawing pressure then releasing is detectable via pressure_on_carrier rising then a controlled_pass_episode away, but recognizing it as a deliberate attract-release intent needs declared composition between pressure + pass + space change.",declared composition rule (pressure_on_carrier rise -> controlled_pass + change_across_anchor),pressure_on_carrier + controlled_pass_episode + change_across_anchor,True,,LOW
bounce_pass_sequence,"Possession behavior, circulation, combinations, and repeated patterns",supported,A bounce/lay-off (pass to a player who returns it first-time) is the one_touch_relay_episode pattern within an action_chain / pass_chain_episode.,,one_touch_relay_episode + pass_chain_episode,False,,LOW
central_circulation_episode,"Possession behavior, circulation, combinations, and repeated patterns",supported,Circulating through central channels is a possession_segment of controlled_pass_episodes whose ball_lateral_fraction stays central; ordered in pass_chain_episode.,,possession_segment + controlled_pass_episode + ball_lateral_fraction (central) + pass_chain_episode,False,,LOW
central_progression_sequence,"Possession behavior, circulation, combinations, and repeated patterns",supported,Forward progression through the center is a pass_chain_episode of controlled_pass_episodes with forward progression and central ball_lateral_fraction.,,pass_chain_episode + controlled_pass_episode (forward) + ball_lateral_fraction,False,,LOW
circulation_speed,"Possession behavior, circulation, combinations, and repeated patterns",supported,"Rate of ball circulation = pass cadence within a possession_segment, the pass_tempo/touch cadence over an action_chain.",,possession_segment + action_chain (pass cadence) + velocity,False,,LOW
give_and_go_sequence,"Possession behavior, circulation, combinations, and repeated patterns",supported,Give-and-go (pass then receive back having moved) is a one_touch_relay_episode / support_arrival_relation pair inside an action_chain; same-possession ordered.,,one_touch_relay_episode + support_arrival_relation + action_chain,False,,LOW
inside_outside_sequence,"Possession behavior, circulation, combinations, and repeated patterns",supported,Ball moving from central to wide is a two-leg action_chain with ball_lateral_fraction increasing (central->wide).,,action_chain + ball_lateral_fraction (rising) + controlled_pass_episode,False,,LOW
outside_inside_sequence,"Possession behavior, circulation, combinations, and repeated patterns",supported,Wide-to-central transfer is the mirror: action_chain with ball_lateral_fraction decreasing toward center.,,action_chain + ball_lateral_fraction (falling) + controlled_pass_episode,False,,LOW
overload_to_isolate_candidate,"Possession behavior, circulation, combinations, and repeated patterns",partial_with_typed_gap,"Overload one side (local_number_relation) then switch_of_play to an isolated 1v1 is detectable, but flagging it as an intentional overload-to-isolate needs a declared composition rule binding local_number_relation + switch_of_play + resulting local_number_relation.",declared composition rule (local overload -> switch_of_play -> far-side isolation),local_number_relation + switch_of_play + local_number_relation,True,,MED
pass_tempo,"Possession behavior, circulation, combinations, and repeated patterns",supported,Inter-pass timing/cadence over a possession_segment derived from controlled_pass_episode ordering and persists_for; directly the touch/pass tempo notion.,,possession_segment + controlled_pass_episode + persists_for,False,,LOW
pattern_repetition,"Possession behavior, circulation, combinations, and repeated patterns",partial_with_typed_gap,"Individual patterns (action_chains) are detectable and countable via count_at_least, but matching recurrence of a pattern signature requires a declared similarity/match rule over chains.",declared composition rule (pattern-similarity matching across action_chains),action_chain + count_at_least,True,,LOW
possession_acceleration_episode,"Possession behavior, circulation, combinations, and repeated patterns",supported,"Possession speeding up = rising progression rate / ball velocity across a possession_segment, captured via change_across_anchor on velocity + progression.",,possession_segment + velocity + change_across_anchor,False,,LOW
possession_deceleration_episode,"Possession behavior, circulation, combinations, and repeated patterns",supported,Mirror of acceleration: falling progression/velocity across the possession_segment via change_across_anchor.,,possession_segment + velocity + change_across_anchor,False,,LOW
possession_depth,"Possession behavior, circulation, combinations, and repeated patterns",supported,How deep/forward possession is held maps to team_compactness depth and ball lateral/longitudinal placement over the possession_segment.,,team_compactness (depth) + possession_segment,False,,LOW
possession_directness,"Possession behavior, circulation, combinations, and repeated patterns",supported,"Directness = forward progression vs lateral/back over a possession_segment; per calibration, directness is supported via possession_segment + controlled_pass_episode + action_chain.",,possession_segment + controlled_pass_episode (forward progression) + action_chain,False,,LOW
possession_distance_advanced,"Possession behavior, circulation, combinations, and repeated patterns",supported,Net forward distance gained across a possession = change_across_anchor on ball position over the possession_segment.,,possession_segment + change_across_anchor (ball position) + pairwise_distance,False,,LOW
possession_duration,"Possession behavior, circulation, combinations, and repeated patterns",supported,"Length of a possession_segment, measured with persists_for. Direct.",,possession_segment + persists_for,False,,LOW
possession_progression_rate,"Possession behavior, circulation, combinations, and repeated patterns",supported,Forward distance per time over a possession_segment = change_across_anchor on position divided by persists_for / velocity.,,possession_segment + velocity + change_across_anchor,False,,LOW
possession_security,"Possession behavior, circulation, combinations, and repeated patterns",supported,Retention/safety of possession = controlled_pass_episode completion proportion + low pressure_on_carrier across the possession_segment (retention is a named catalog strength).,,possession_segment + controlled_pass_episode + pressure_on_carrier,False,,LOW
possession_signature,"Possession behavior, circulation, combinations, and repeated patterns",ambiguous_or_needs_definition,A 'signature' of a possession is just a name; it could be any aggregate of supported metrics but its features/identity criteria are unspecified.,definition (which features constitute the signature),possession_segment + (any aggregate of supported metrics),False,,LOW
possession_stall_episode,"Possession behavior, circulation, combinations, and repeated patterns",supported,Stalled possession = sustained low/no forward progression with passing persisting (persists_for) and low velocity across a possession_segment.,,possession_segment + controlled_pass_episode (no progression) + persists_for + velocity,False,,LOW
possession_width,"Possession behavior, circulation, combinations, and repeated patterns",supported,Lateral spread of possession = team_compactness width and ball_lateral_fraction range over the possession_segment.,,team_compactness (width) + ball_lateral_fraction,False,,LOW
recycle_episode,"Possession behavior, circulation, combinations, and repeated patterns",supported,"Recycling = backward/lateral controlled passes to restart attack within a possession_segment, an action_chain without net forward progression.",,possession_segment + controlled_pass_episode + action_chain,False,,LOW
reset_to_back_line,"Possession behavior, circulation, combinations, and repeated patterns",partial_with_typed_gap,A backward pass to the defensive line is a controlled_pass_episode without forward progression; tagging the recipients specifically as 'the back line' needs role/unit identity (no role taxonomy).,role_or_reference (back-line unit identity),controlled_pass_episode (backward) + action_chain + multi_line_model,False,,LOW
side_circulation_episode,"Possession behavior, circulation, combinations, and repeated patterns",supported,Circulating possession down one flank = possession_segment of controlled passes with sustained high ball_lateral_fraction on one side.,,possession_segment + controlled_pass_episode + ball_lateral_fraction,False,,LOW
switch_frequency,"Possession behavior, circulation, combinations, and repeated patterns",supported,Count of switches over a window = count_at_least over switch_of_play events.,,switch_of_play + count_at_least,False,,LOW
switch_of_play_sequence,"Possession behavior, circulation, combinations, and repeated patterns",supported,A switch and its surrounding legs = switch_of_play anchored in an action_chain / pass_chain_episode.,,switch_of_play + action_chain + pass_chain_episode,False,,LOW
territorial_possession,"Possession behavior, circulation, combinations, and repeated patterns",supported,Where on the pitch possession is held = possession_segment with ball position/team_compactness aggregated by pitch third; territory is an aggregate of supported geometry.,,possession_segment + team_compactness + ball_lateral_fraction,False,,LOW
third_player_combination,"Possession behavior, circulation, combinations, and repeated patterns",supported,"A->B->C combination with B as a relay is a one_touch_relay_episode chained into a pass_chain_episode over three players, same-possession ordered.",,one_touch_relay_episode + pass_chain_episode + action_chain,False,,LOW
touch_tempo,"Possession behavior, circulation, combinations, and repeated patterns",supported,Touches-per-action cadence over a possession_segment via controlled_pass_episode/one_touch_relay_episode counts and persists_for.,,one_touch_relay_episode + controlled_pass_episode + persists_for,False,,LOW
up_back_through_sequence,"Possession behavior, circulation, combinations, and repeated patterns",supported,"Up-back-through is a three-leg ordered pattern: forward controlled_pass, backward lay-off (one_touch_relay_episode), then a progressive corridor pass; all same-possession in action_chain.",,action_chain + one_touch_relay_episode + geometric_progressive_corridor,False,,LOW
wall_pass_sequence,"Possession behavior, circulation, combinations, and repeated patterns",supported,"Wall pass = one-two; one_touch_relay_episode with the ball returned first-time, ordered in an action_chain (synonym of give_and_go).",,one_touch_relay_episode + action_chain,False,,LOW
wide_progression_sequence,"Possession behavior, circulation, combinations, and repeated patterns",supported,Forward progression down a flank = pass_chain_episode of forward controlled passes with high ball_lateral_fraction.,,pass_chain_episode + controlled_pass_episode (forward) + ball_lateral_fraction,False,,LOW
destination_entry,"Passing lanes, windows, reception, and distribution effects",supported,Ball entering a target region within a window is directly relation_destination_entry (outcome-window).,,relation_destination_entry,False,,LOW
forward_progression,"Passing lanes, windows, reception, and distribution effects",supported,Forward progression of the ball/pass is a core attribute of controlled_pass_episode and geometric_progressive_corridor.,,controlled_pass_episode (forward progression) + geometric_progressive_corridor,False,,LOW
lateral_transfer,"Passing lanes, windows, reception, and distribution effects",supported,A sideways ball transfer = controlled_pass_episode with lateral ball_lateral_fraction change and no forward progression; large ones are switch_of_play.,,controlled_pass_episode + ball_lateral_fraction + switch_of_play,False,,LOW
one_touch_distribution_candidate,"Passing lanes, windows, reception, and distribution effects",supported,A first-time onward distribution is a one_touch_relay_episode within an action_chain.,,one_touch_relay_episode + action_chain,False,,LOW
opponents_bypassed_by_action,"Passing lanes, windows, reception, and distribution effects",supported,Directly the opponents_bypassed_by_action primitive (bypass count).,,opponents_bypassed_by_action,False,,LOW
pass_completion_probability,"Passing lanes, windows, reception, and distribution effects",missing_modality,"Pass completion probability is a learned model, explicitly not implemented.",learned-models modality (completion probability),none,False,,LOW
pass_disruption_score,"Passing lanes, windows, reception, and distribution effects",missing_primitive,"How disruptive/risky a pass is to defenders requires reachability/interception margin of nearby defenders to the ball path; that is the time_to_arrival gap, not a learned score per se.",time_to_arrival (defender reachability to pass line),pairwise_distance + velocity (raw inputs only),False,,MED
pass_lane,"Passing lanes, windows, reception, and distribution effects",partial_with_typed_gap,"An open forward corridor ball->teammate is supported via geometric_progressive_corridor; but a general pass lane as a defensible/interceptable channel needs time_to_arrival and lane-as-defense, which are missing.",time_to_arrival (lane safety/interception) for the non-corridor case,geometric_progressive_corridor (open forward corridor case),False,,MED
pass_lane_clearance,"Passing lanes, windows, reception, and distribution effects",missing_primitive,"Whether the lane is clear of intercepting defenders is reachability/occlusion, not a geometric corridor alone; needs time_to_arrival and cover_shadow.",time_to_arrival + cover_shadow (defender occlusion of lane),"geometric_progressive_corridor (geometry only, no defender reachability)",False,,MED
pass_lane_interception_margin,"Passing lanes, windows, reception, and distribution effects",missing_primitive,Interception margin = defender time-to-ball-line vs ball-arrival time. This is precisely the time_to_arrival primitive the catalog lacks.,time_to_arrival (defender vs ball reachability margin),"pairwise_distance (entity-to-region) + velocity (raw, no time-to-arrival)",False,,HIGH
pass_length,"Passing lanes, windows, reception, and distribution effects",supported,Geometric distance of the pass = pairwise_distance over the pass leg of a controlled_pass_episode.,,controlled_pass_episode + pairwise_distance,False,,LOW
pass_selection_probability,"Passing lanes, windows, reception, and distribution effects",missing_modality,"Probability a player selects a given pass is a learned/probabilistic model, not implemented.",learned-models modality (pass selection probability),none,False,,LOW
pass_speed_profile,"Passing lanes, windows, reception, and distribution effects",supported,Ball speed across the pass = velocity (displacement-derived) over the controlled_pass_episode leg.,,controlled_pass_episode + velocity,False,,LOW
pass_vector,"Passing lanes, windows, reception, and distribution effects",supported,Direction + magnitude of the pass = velocity vector + pairwise_distance over the controlled_pass_episode; signed lateral component via ball_lateral_fraction.,,controlled_pass_episode + velocity + pairwise_distance,False,,LOW
pass_window_closing,"Passing lanes, windows, reception, and distribution effects",missing_primitive,A passing window narrowing over time is defender reachability shrinking the safe lane; this is the time_to_arrival gap (window = reachability margin over time).,time_to_arrival (window as reachability margin),"pairwise_distance + velocity (raw closing of geometry, not window safety)",False,,MED
pass_window_duration,"Passing lanes, windows, reception, and distribution effects",missing_primitive,How long a window stays open is persists_for applied to a window state that itself needs time_to_arrival to define.,time_to_arrival (to define window-open state),persists_for (over a window state that doesn't yet exist),False,,MED
pass_window_episode,"Passing lanes, windows, reception, and distribution effects",missing_primitive,An episode where a safe pass window exists requires the window/reachability concept (time_to_arrival); the open-forward-corridor subset is supported but the general safe window is not.,time_to_arrival (safe-window definition),geometric_progressive_corridor (open-corridor subset only),False,,MED
pass_window_opening,"Passing lanes, windows, reception, and distribution effects",missing_primitive,A window opening = reachability margin growing; needs time_to_arrival to define the window state being entered.,time_to_arrival (window-open onset),pairwise_distance + velocity (raw geometry change),False,,MED
pass_window_opening_rate,"Passing lanes, windows, reception, and distribution effects",missing_primitive,Rate of window opening is the time-derivative of an undefined window state; depends on the missing time_to_arrival primitive.,time_to_arrival (to define window state to differentiate),"velocity (raw rate, no window)",False,,LOW
pass_window_state,"Passing lanes, windows, reception, and distribution effects",missing_primitive,Open/closed window state is a reachability-margin classification needing time_to_arrival; no such primitive exists.,time_to_arrival (window open/closed classification),geometric_progressive_corridor (open-corridor proxy only),False,,MED
receive_and_turn_candidate,"Passing lanes, windows, reception, and distribution effects",partial_with_typed_gap,"Reception then forward progression by the receiver is detectable via support_arrival_relation + subsequent forward action, but whether the player can/did turn is fundamentally body-orientation, an unavailable modality.",body orientation modality (turn feasibility),support_arrival_relation + change_across_anchor (forward shift after receipt),False,,LOW
receive_behind_unit,"Passing lanes, windows, reception, and distribution effects",supported,Receiving beyond a line/unit is controlled_line_break_episode + receiver_line_transition_during_pass_leg against a multi_line_model rank; receiver-beyond-line is calibrated supported.,,controlled_line_break_episode + multi_line_model + receiver_line_transition_during_pass_leg,False,,LOW
receive_between_units,"Passing lanes, windows, reception, and distribution effects",supported,"Receiving between two ranked lines = relative_position_to_line against two adjacent ranks of multi_line_model (rank-N honesty handles missing lines), with support_arrival_relation for the receipt.",,multi_line_model + relative_position_to_line + support_arrival_relation,False,,LOW
receive_on_back_foot_proxy,"Passing lanes, windows, reception, and distribution effects",missing_modality,Back-foot receipt is a body-orientation/stance distinction; tracking position cannot determine which foot/orientation faced play. Body orientation is unavailable.,body orientation modality (receiving stance),"velocity direction of receiver (weak directional proxy, not stance)",False,,LOW
receive_outside_shape,"Passing lanes, windows, reception, and distribution effects",partial_with_typed_gap,"Receiving outside the opponent block shape is computable via relative_position_to_line / team_compactness boundary, but defining the opponent 'shape' boundary precisely may need declared composition between compactness + lines.",declared composition rule (compactness/line envelope as the shape boundary),relative_position_to_line + team_compactness + support_arrival_relation,True,,LOW
receive_under_pressure,"Passing lanes, windows, reception, and distribution effects",supported,"Receipt with a close, closing defender = support_arrival_relation + pressure_on_carrier on the receiver; same pattern as the calibrated throw-in-under-pressure case.",,support_arrival_relation + pressure_on_carrier,False,,LOW
receiver_arrival_margin,"Passing lanes, windows, reception, and distribution effects",missing_primitive,Margin between receiver arriving at the ball and a defender = receiver vs defender time-to-ball; this is the time_to_arrival reachability primitive.,time_to_arrival (receiver vs defender reachability),"pairwise_distance + velocity (raw, no arrival time)",False,,HIGH
receiver_control_margin,"Passing lanes, windows, reception, and distribution effects",missing_primitive,Time/space the receiver has to control before pressure arrives = reachability of the nearest defender to the receipt point; the time_to_arrival gap.,time_to_arrival (defender reachability to receipt),"pressure_on_carrier + pairwise_distance (proximity, not arrival margin)",False,,MED
receiver_openness,"Passing lanes, windows, reception, and distribution effects",missing_primitive,"Per calibration, receiver openness is mostly missing_primitive (time_to_arrival/reachability + lane-as-defense); proximity alone does not capture how open a receiver is to be reached safely.",time_to_arrival (reachability-based openness),pairwise_distance + geometric_progressive_corridor (open-corridor proxy),False,,HIGH
receiving_location_relation,"Passing lanes, windows, reception, and distribution effects",supported,Where the receipt occurs relative to regions/lines = receiving_location relative to relative_position_to_line and region anchors; covered by support_arrival_relation + relative_position_to_line.,,support_arrival_relation + relative_position_to_line + relation_destination_entry,False,,LOW
structural_displacement_by_pass,"Passing lanes, windows, reception, and distribution effects",supported,How a pass shifts the defensive structure = change_across_anchor on team_compactness / signed_lateral_shift / defensive_outfield_centroid across the pass anchor.,,change_across_anchor + signed_lateral_shift + team_compactness,False,,LOW
target_player_entry,"Passing lanes, windows, reception, and distribution effects",partial_with_typed_gap,Ball reaching a specific target player in a region is relation_destination_entry + support_arrival_relation; pinning it to a named/role-specific 'target player' needs reference/role resolution.,role_or_reference (target-player identity),relation_destination_entry + support_arrival_relation,False,,LOW
active_player_timeline,"Entities, availability, roles, and tactical identity",supported,Which players are on-pitch over time is registered_entity presence under tracking_quality coverage; basic availability state is supported.,,registered_entity + tracking_quality + persists_for,False,,LOW
dismissal_episode,"Entities, availability, roles, and tactical identity",supported,A sending-off is an event-marked anchor (red card) via action_event_anchor with a player leaving the registered_entity active set thereafter.,,action_event_anchor (event-marked) + registered_entity,False,,LOW
entity_alias_resolution,"Entities, availability, roles, and tactical identity",supported,"Reconciling provider IDs/aliases to a single entity is an identity/reference resolution that the registered_entity layer provides (basic availability/identity, not role).",,registered_entity (+ provider label reconciliation),False,,LOW
entity_visibility_state,"Entities, availability, roles, and tactical identity",supported,Whether an entity is currently tracked/visible is exactly tracking_quality (coverage/UNKNOWN when thin) over a registered_entity.,,tracking_quality + registered_entity,False,,LOW
expected_entity_set,"Entities, availability, roles, and tactical identity",supported,"The set of entities expected on pitch (e.g. 11 + GK) is a reference set over registered_entity / team_membership, checkable with count_at_least and exists.",,registered_entity + team_membership + count_at_least,False,,LOW
goalkeeper_timeline,"Entities, availability, roles, and tactical identity",role_or_reference_gap,"A timeline of who is the GK requires identifying the goalkeeper role; there is no role taxonomy (known gap), so GK designation cannot be resolved.",role_or_reference (GK role identity),registered_entity + active_player_timeline (without role labeling),False,,MED
